image,class_name,class_id,confidence,x1,y1,x2,y2
1748505762.872000_2.jpg,up,343,0.9206,289.64,156.31,458.36,302.89
1748505763.668000_2.jpg,up,343,0.7969,323.97,43.95,512.51,231.18
1748505763.768000_2.jpg,up,343,0.259,392.28,38.13,609.68,229.57
1748505771.440000_2.jpg,up,343,0.9749,276.24,108.4,375.84,199.14
1748505771.440000_2.jpg,down,265,0.9294,251.23,223.85,334.73,294.0
1748505771.540000_2.jpg,up,343,0.9852,275.24,104.47,374.48,199.83
1748505771.540000_2.jpg,down,265,0.9829,248.09,225.61,332.63,296.29
1748505772.336000_2.jpg,down,265,0.9181,247.12,102.37,334.59,187.88
1748505772.336000_2.jpg,up,343,0.7581,228.07,0.0,325.36,61.92
1751754442.220260.jpg,led,273,0.8722,962.64,280.5,1033.12,436.21
1751754442.220260.jpg,3,53,0.5181,973.53,588.26,1016.65,649.47
1751754442.264284.jpg,led,273,0.854,962.24,280.74,1032.61,435.93
1751754442.264284.jpg,3,53,0.415,974.13,589.06,1017.98,649.92
1751754442.264284.jpg,1,9,0.3306,970.32,702.69,1016.32,765.21
1751754442.272000.jpg,3,53,0.9223,291.71,148.89,332.53,194.02
1751754442.272000.jpg,5,85,0.896,289.04,49.53,329.43,95.14
1751754442.272000.jpg,4,72,0.8404,290.07,99.12,331.72,143.98
1751754442.272000.jpg,1,9,0.8345,294.79,253.68,336.41,299.91
1751754442.272000.jpg,2,35,0.5036,293.32,200.52,334.65,246.49
1751754442.272000.jpg,25,42,0.3909,286.8,0.14,327.72,46.42
1751812391.319000.jpg,1,9,0.9505,363.43,233.59,480.89,345.69
1751812391.319000.jpg,open,275,0.8795,381.59,376.43,491.51,474.81
1751812391.319000.jpg,3,53,0.8639,338.1,53.7,471.67,200.39
1751812391.319000.jpg,call,263,0.6775,580.39,369.78,640.0,478.15
1751812391.319000.jpg,up,343,0.2939,576.2,16.52,639.98,172.56
1751812391.387000.jpg,1,9,0.9277,366.99,245.87,483.54,357.59
1751812391.387000.jpg,open,275,0.8878,384.79,386.73,495.31,479.94
1751812391.387000.jpg,3,53,0.7502,343.08,72.96,473.67,211.25
1751812391.387000.jpg,call,263,0.325,584.03,380.98,639.98,479.89
1751812391.387000.jpg,close,264,0.2695,584.03,380.98,639.98,479.89
1751812391.451000.jpg,1,9,0.9666,368.31,257.5,485.03,369.8
1751812391.451000.jpg,open,275,0.9369,384.74,396.68,496.73,480.0
1751812391.451000.jpg,3,53,0.8364,345.4,87.75,476.37,226.4
1751812391.451000.jpg,call,263,0.4378,582.21,392.78,639.97,479.94
1751812394.662770.jpg,led,273,0.7639,892.49,250.84,993.25,434.57
1751812394.683000.jpg,1,9,0.9405,293.63,231.39,418.68,347.5
1751812394.683000.jpg,2,35,0.9404,523.9,230.24,639.99,351.96
1751812394.683000.jpg,3,53,0.8579,275.98,54.34,417.47,195.22
